ano,mes,sigla_uf,id_estabelecimento_cnes,total_internacoes,permanencia_media_dias,total_leitos
2024,Dezembro,RS,2232014,568,11,273
2024,Dezembro,RS,2232146,989,11,243
2024,Dezembro,RS,2232162,545,12,224
2024,Dezembro,RS,2232995,989,14,308
2024,Dezembro,RS,2233312,203,12,109
2024,Dezembro,RS,2233320,25,7,52
2024,Dezembro,RS,2233398,114,6,62
2024,Dezembro,RS,2233401,143,5,75
2024,Dezembro,RS,2234467,25,4,30
2024,Dezembro,RS,2235315,51,11,51
2024,Dezembro,RS,2235323,328,6,100
2024,Dezembro,RS,2235382,45,4,31
2024,Dezembro,RS,2235404,132,9,79
2024,Dezembro,RS,2235412,59,8,54
2024,Dezembro,RS,2236354,48,5,50
2024,Dezembro,RS,2236362,152,11,106
2024,Dezembro,RS,2237571,3374,14,1098
2024,Dezembro,RS,2237849,373,22,343
2024,Dezembro,RS,2241021,618,10,267
2024,Dezembro,RS,2241048,533,9,149
2024,Dezembro,RS,2241056,3,3,4
2024,Dezembro,RS,2241102,70,6,40
2024,Dezembro,RS,2241153,34,13,103
2024,Dezembro,RS,2241218,19,9,41
2024,Dezembro,RS,2244098,44,5,72
2024,Dezembro,RS,2244209,15,4,16
2024,Dezembro,RS,2244314,44,8,50
2024,Dezembro,RS,2246805,86,4,50
2024,Dezembro,RS,2246872,31,9,33
2024,Dezembro,RS,2246937,22,5,30
2024,Dezembro,RS,2248204,423,8,205
2024,Dezembro,RS,2248239,188,5,104
2024,Dezembro,RS,2249618,37,14,52
2024,Dezembro,RS,2250705,35,4,40
2024,Dezembro,RS,2250829,119,3,56
2024,Dezembro,RS,2250837,228,6,76
